ID_Chamado,Data_Abertura,Equipamento,Tipo_Falha,Prioridade,Tecnico_Responsavel,Status,Data_Conclusao,Tempo_Resolucao_Horas,Custo_Estimado_R$,Peca_Trocada,Linha_Onibus,Mes_Abertura
CH00374,2023-01-21 00:00:00,Validador VA-2000,Falha de Leitura,Média,Mário Inácio,Concluída,2023-01-21 21:58:00,21.97,372,Sim,Linha 300,2023-01
CH00375,2023-11-28 00:00:00,Computador Bordo CB-100,Erro de Comunicação,Média,Pedro Oliveira,Concluída,2023-11-28 06:01:00,6.02,255,Não,Linha 500,2023-11
CH00376,2023-03-16 00:00:00,Display Digital DD-50,Erro de Comunicação,Baixa,Mário Inácio,Concluída,2023-03-17 09:30:00,33.5,201,Sim,Linha 100,2023-03
CH00377,2024-03-23 00:00:00,Catraca CT-500,Desgaste Mecânico,Alta,Maria Santos,Concluída,2024-03-23 07:27:00,7.45,674,Não,Linha 200,2024-03
CH00378,2023-06-29 00:00:00,Display Digital DD-50,Defeito de Software,Alta,Maria Santos,Pendente,,,646,Não,Linha 300,2023-06
CH00379,2023-02-03 00:00:00,Validador VA-3000,Erro de Comunicação,Baixa,Mário Inácio,Concluída,2023-02-03 20:25:00,20.42,181,Sim,Linha 200,2023-02
CH00380,2023-12-06 00:00:00,Display Digital DD-50,Defeito de Software,Baixa,Ana Costa,Concluída,2023-12-06 13:18:00,13.3,160,Não,Linha 300,2023-12
CH00381,2023-01-12 00:00:00,Validador VA-3000,Sensor Danificado,Baixa,Pedro Oliveira,Concluída,2023-01-13 02:06:00,26.1,153,Não,Linha 100,2023-01
CH00382,2024-01-31 00:00:00,Catraca CT-500,Desgaste Mecânico,Baixa,João Silva,Concluída,2024-02-01 13:54:00,37.9,207,Não,Linha 400,2024-01
CH00383,2023-04-14 00:00:00,Catraca CT-700,Falha Elétrica,Alta,Mário Inácio,Concluída,2023-04-14 06:05:00,6.08,697,Não,Linha 200,2023-04
CH00384,2023-11-23 00:00:00,Catraca CT-700,Falha de Leitura,Baixa,Pedro Oliveira,Concluída,2023-11-24 01:49:00,25.82,126,Sim,Linha 300,2023-11
CH00385,2023-04-06 00:00:00,Validador VA-3000,Falha Elétrica,Média,João Silva,Pendente,,,336,Sim,Linha 500,2023-04
CH00386,2024-03-20 00:00:00,Catraca CT-700,Sensor Danificado,Baixa,Ana Costa,Concluída,2024-03-20 18:43:00,18.72,113,Sim,Linha 300,2024-03
CH00387,2023-09-29 00:00:00,Validador VA-3000,Erro de Comunicação,Crítica,Mário Inácio,Pendente,,,1222,Não,Linha 200,2023-09
CH00388,2024-05-17 00:00:00,Validador VA-2000,Falha de Leitura,Crítica,Mário Inácio,Pendente,,,1189,Sim,Linha 300,2024-05
CH00389,2024-05-06 00:00:00,Validador VA-2000,Falha Elétrica,Baixa,Pedro Oliveira,Pendente,,,151,Sim,Linha 100,2024-05
CH00390,2023-04-29 00:00:00,Validador VA-3000,Erro de Comunicação,Alta,João Silva,Concluída,2023-04-29 04:37:00,4.62,651,Sim,Linha 400,2023-04
CH00391,2023-07-09 00:00:00,Display Digital DD-50,Desgaste Mecânico,Baixa,Mário Inácio,Concluída,2023-07-10 09:19:00,33.32,197,Não,Linha 200,2023-07
CH00392,2023-09-27 00:00:00,Catraca CT-700,Falha de Leitura,Alta,Ana Costa,Concluída,2023-09-27 03:55:00,3.92,618,Sim,Linha 100,2023-09
CH00393,2024-02-28 00:00:00,Validador VA-3000,Conectividade,Baixa,João Silva,Concluída,2024-02-28 23:31:00,23.52,241,Sim,Linha 400,2024-02
CH00394,2023-08-30 00:00:00,Antena GPS AG-20,Defeito de Software,Crítica,Mário Inácio,Concluída,2023-08-30 02:31:00,2.52,1226,Sim,Linha 400,2023-08
CH00395,2024-06-13 00:00:00,Antena GPS AG-20,Sensor Danificado,Baixa,Mário Inácio,Pendente,,,246,Sim,Linha 200,2024-06
CH00396,2023-08-05 00:00:00,Validador VA-2000,Conectividade,Crítica,Maria Santos,Concluída,2023-08-05 01:19:00,1.32,1182,Sim,Linha 400,2023-08
CH00397,2023-09-22 00:00:00,Validador VA-2000,Sensor Danificado,Crítica,Maria Santos,Concluída,2023-09-22 01:51:00,1.85,1167,Sim,Linha 400,2023-09
CH00398,2024-04-14 00:00:00,Computador Bordo CB-100,Falha Elétrica,Alta,Pedro Oliveira,Pendente,,,553,Sim,Linha 500,2024-04
CH00399,2023-06-03 00:00:00,Computador Bordo CB-100,Conectividade,Crítica,João Silva,Concluída,2023-06-03 01:07:00,1.12,1295,Sim,Linha 500,2023-06
CH00400,2023-10-20 00:00:00,Antena GPS AG-20,Falha de Leitura,Baixa,Mário Inácio,Concluída,2023-10-21 20:33:00,44.55,188,Sim,Linha 300,2023-10
CH00401,2024-04-29 00:00:00,Catraca CT-700,Sensor Danificado,Crítica,Mário Inácio,Pendente,,,1159,Não,Linha 300,2024-04
CH00402,2023-12-06 00:00:00,Catraca CT-700,Erro de Comunicação,Crítica,João Silva,Concluída,2023-12-06 01:30:00,1.5,1162,Sim,Linha 300,2023-12
CH00403,2023-10-15 00:00:00,Catraca CT-500,Falha de Leitura,Alta,Pedro Oliveira,Concluída,2023-10-15 06:11:00,6.18,575,Não,Linha 200,2023-10
CH00404,2024-03-02 00:00:00,Catraca CT-500,Sensor Danificado,Crítica,Pedro Oliveira,Concluída,2024-03-02 00:52:00,0.87,1198,Sim,Linha 200,2024-03
CH00405,2023-02-27 00:00:00,Antena GPS AG-20,Falha Elétrica,Crítica,Mário Inácio,Concluída,2023-02-27 02:41:00,2.68,1190,Sim,Linha 300,2023-02
CH00406,2023-01-30 00:00:00,Display Digital DD-50,Defeito de Software,Crítica,Maria Santos,Pendente,,,1194,Não,Linha 200,2023-01
CH00407,2023-02-21 00:00:00,Antena GPS AG-20,Falha de Leitura,Média,João Silva,Concluída,2023-02-21 16:18:00,16.3,300,Não,Linha 300,2023-02
CH00408,2023-09-05 00:00:00,Antena GPS AG-20,Falha Elétrica,Crítica,João Silva,Concluída,2023-09-05 02:05:00,2.08,1275,Sim,Linha 400,2023-09
CH00409,2023-12-25 00:00:00,Validador VA-3000,Conectividade,Crítica,Mário Inácio,Pendente,,,1238,Não,Linha 300,2023-12
CH00410,2024-01-31 00:00:00,Display Digital DD-50,Conectividade,Baixa,Pedro Oliveira,Concluída,2024-01-31 11:23:00,11.38,141,Sim,Linha 200,2024-01
CH00411,2024-02-24 00:00:00,Antena GPS AG-20,Erro de Comunicação,Média,Maria Santos,Concluída,2024-02-24 21:31:00,21.52,255,Sim,Linha 400,2024-02
CH00412,2023-08-18 00:00:00,Validador VA-3000,Sensor Danificado,Média,Mário Inácio,Concluída,2023-08-18 12:36:00,12.6,328,Não,Linha 400,2023-08
CH00413,2023-08-12 00:00:00,Catraca CT-700,Conectividade,Alta,Ana Costa,Concluída,2023-08-12 05:58:00,5.97,627,Sim,Linha 500,2023-08
CH00414,2024-01-19 00:00:00,Catraca CT-700,Defeito de Software,Baixa,João Silva,Pendente,,,243,Sim,Linha 500,2024-01
CH00415,2023-12-11 00:00:00,Catraca CT-500,Desgaste Mecânico,Baixa,Ana Costa,Concluída,2023-12-12 02:52:00,26.87,183,Não,Linha 300,2023-12
CH00416,2024-06-13 00:00:00,Display Digital DD-50,Sensor Danificado,Alta,Maria Santos,Concluída,2024-06-13 04:03:00,4.05,564,Sim,Linha 400,2024-06
CH00417,2023-10-30 00:00:00,Display Digital DD-50,Desgaste Mecânico,Média,João Silva,Concluída,2023-10-30 12:51:00,12.85,357,Sim,Linha 400,2023-10
CH00418,2024-05-02 00:00:00,Display Digital DD-50,Falha de Leitura,Média,Pedro Oliveira,Concluída,2024-05-02 16:14:00,16.23,379,Não,Linha 200,2024-05
CH00419,2024-04-27 00:00:00,Antena GPS AG-20,Sensor Danificado,Média,Pedro Oliveira,Concluída,2024-04-27 08:22:00,8.37,316,Sim,Linha 200,2024-04
CH00420,2023-08-17 00:00:00,Display Digital DD-50,Desgaste Mecânico,Baixa,Maria Santos,Concluída,2023-08-18 04:57:00,28.95,207,Não,Linha 300,2023-08
CH00421,2024-04-26 00:00:00,Catraca CT-500,Defeito de Software,Alta,Ana Costa,Concluída,2024-04-26 02:27:00,2.45,699,Sim,Linha 500,2024-04
CH00422,2024-01-26 00:00:00,Validador VA-2000,Falha Elétrica,Média,Mário Inácio,Concluída,2024-01-26 22:05:00,22.08,326,Sim,Linha 100,2024-01
CH00423,2023-12-17 00:00:00,Antena GPS AG-20,Conectividade,Média,Maria Santos,Concluída,2023-12-17 17:58:00,17.97,395,Sim,Linha 200,2023-12
CH00424,2023-12-07 00:00:00,Catraca CT-500,Conectividade,Média,João Silva,Concluída,2023-12-07 10:02:00,10.03,330,Sim,Linha 100,2023-12
CH00425,2023-06-12 00:00:00,Catraca CT-700,Desgaste Mecânico,Média,Maria Santos,Pendente,,,375,Sim,Linha 200,2023-06
CH00426,2024-05-03 00:00:00,Computador Bordo CB-100,Falha Elétrica,Crítica,Ana Costa,Concluída,2024-05-03 02:08:00,2.13,1151,Sim,Linha 500,2024-05
CH00427,2024-06-27 00:00:00,Validador VA-3000,Sensor Danificado,Alta,João Silva,Concluída,2024-06-27 03:37:00,3.62,554,Sim,Linha 200,2024-06
CH00428,2023-04-16 00:00:00,Validador VA-3000,Sensor Danificado,Alta,Pedro Oliveira,Concluída,2023-04-16 05:16:00,5.27,678,Sim,Linha 300,2023-04
CH00429,2024-04-11 00:00:00,Validador VA-3000,Falha de Leitura,Baixa,Pedro Oliveira,Concluída,2024-04-12 19:31:00,43.52,234,Não,Linha 400,2024-04
CH00430,2023-07-12 00:00:00,Display Digital DD-50,Erro de Comunicação,Alta,Ana Costa,Concluída,2023-07-12 03:24:00,3.4,653,Sim,Linha 200,2023-07
CH00431,2024-05-31 00:00:00,Validador VA-3000,Sensor Danificado,Média,Maria Santos,Concluída,2024-05-31 09:46:00,9.77,281,Não,Linha 100,2024-05
CH00432,2023-02-19 00:00:00,Catraca CT-700,Sensor Danificado,Alta,Mário Inácio,Pendente,,,562,Sim,Linha 100,2023-02
CH00433,2024-01-25 00:00:00,Validador VA-2000,Sensor Danificado,Baixa,Ana Costa,Concluída,2024-01-25 16:26:00,16.43,240,Não,Linha 400,2024-01
CH00434,2024-03-06 00:00:00,Display Digital DD-50,Erro de Comunicação,Média,João Silva,Concluída,2024-03-06 07:26:00,7.43,383,Não,Linha 500,2024-03
CH00435,2024-06-07 00:00:00,Computador Bordo CB-100,Sensor Danificado,Média,Ana Costa,Concluída,2024-06-07 08:01:00,8.02,322,Sim,Linha 100,2024-06
CH00436,2023-07-26 00:00:00,Catraca CT-700,Erro de Comunicação,Média,Pedro Oliveira,Pendente,,,341,Sim,Linha 300,2023-07
CH00437,2023-12-05 00:00:00,Validador VA-3000,Falha de Leitura,Crítica,Maria Santos,Concluída,2023-12-05 01:30:00,1.5,1150,Sim,Linha 100,2023-12
CH00438,2024-06-07 00:00:00,Validador VA-2000,Conectividade,Crítica,Maria Santos,Concluída,2024-06-07 00:49:00,0.82,1175,Não,Linha 200,2024-06
CH00439,2023-04-13 00:00:00,Catraca CT-700,Desgaste Mecânico,Alta,Ana Costa,Concluída,2023-04-13 03:29:00,3.48,560,Não,Linha 300,2023-04
CH00440,2023-04-08 00:00:00,Antena GPS AG-20,Sensor Danificado,Alta,Ana Costa,Concluída,2023-04-08 02:23:00,2.38,552,Não,Linha 200,2023-04
CH00441,2023-04-06 00:00:00,Catraca CT-500,Desgaste Mecânico,Crítica,Mário Inácio,Concluída,2023-04-06 02:05:00,2.08,1237,Não,Linha 100,2023-04
CH00442,2024-05-04 00:00:00,Catraca CT-700,Falha Elétrica,Crítica,Pedro Oliveira,Concluída,2024-05-04 02:17:00,2.28,1192,Sim,Linha 200,2024-05
CH00443,2024-03-02 00:00:00,Display Digital DD-50,Sensor Danificado,Baixa,Maria Santos,Concluída,2024-03-03 16:57:00,40.95,245,Sim,Linha 200,2024-03
CH00444,2023-05-14 00:00:00,Computador Bordo CB-100,Falha Elétrica,Alta,Mário Inácio,Concluída,2023-05-14 06:07:00,6.12,674,Sim,Linha 400,2023-05
CH00445,2023-01-13 00:00:00,Catraca CT-700,Falha de Leitura,Baixa,Pedro Oliveira,Concluída,2023-01-14 19:49:00,43.82,247,Sim,Linha 200,2023-01
CH00446,2023-04-08 00:00:00,Display Digital DD-50,Conectividade,Alta,Mário Inácio,Pendente,,,660,Não,Linha 400,2023-04
CH00447,2023-02-25 00:00:00,Catraca CT-500,Sensor Danificado,Crítica,Maria Santos,Pendente,,,1152,Não,Linha 500,2023-02
CH00448,2024-05-18 00:00:00,Antena GPS AG-20,Falha Elétrica,Crítica,Maria Santos,Concluída,2024-05-18 01:52:00,1.87,1211,Não,Linha 300,2024-05
CH00449,2024-02-17 00:00:00,Validador VA-2000,Defeito de Software,Média,Mário Inácio,Concluída,2024-02-17 12:01:00,12.02,270,Sim,Linha 400,2024-02
CH00450,2024-04-02 00:00:00,Antena GPS AG-20,Defeito de Software,Crítica,João Silva,Concluída,2024-04-02 01:50:00,1.83,1180,Sim,Linha 100,2024-04
CH00451,2023-01-01 00:00:00,Validador VA-2000,Falha Elétrica,Crítica,João Silva,Pendente,,,1173,Sim,Linha 500,2023-01
CH00452,2024-01-08 00:00:00,Display Digital DD-50,Desgaste Mecânico,Média,Ana Costa,Concluída,2024-01-08 05:51:00,5.85,307,Sim,Linha 300,2024-01
CH00453,2023-04-27 00:00:00,Computador Bordo CB-100,Conectividade,Crítica,Pedro Oliveira,Concluída,2023-04-27 00:54:00,0.9,1206,Sim,Linha 300,2023-04
CH00454,2024-01-18 00:00:00,Catraca CT-500,Conectividade,Alta,Mário Inácio,Pendente,,,577,Sim,Linha 200,2024-01
CH00455,2023-07-20 00:00:00,Catraca CT-700,Erro de Comunicação,Crítica,João Silva,Concluída,2023-07-20 01:18:00,1.3,1180,Sim,Linha 200,2023-07
CH00456,2024-02-29 00:00:00,Catraca CT-700,Conectividade,Média,Pedro Oliveira,Concluída,2024-02-29 05:35:00,5.58,400,Sim,Linha 400,2024-02
CH00457,2024-06-27 00:00:00,Catraca CT-700,Sensor Danificado,Média,Ana Costa,Concluída,2024-06-27 05:39:00,5.65,391,Sim,Linha 500,2024-06
CH00458,2023-05-12 00:00:00,Catraca CT-700,Defeito de Software,Média,Mário Inácio,Concluída,2023-05-12 07:32:00,7.53,349,Sim,Linha 500,2023-05
CH00459,2023-09-12 00:00:00,Catraca CT-500,Defeito de Software,Crítica,Ana Costa,Pendente,,,1220,Sim,Linha 300,2023-09
CH00460,2024-06-08 00:00:00,Catraca CT-500,Falha Elétrica,Média,Maria Santos,Concluída,2024-06-08 14:12:00,14.2,390,Não,Linha 500,2024-06
CH00461,2023-10-25 00:00:00,Display Digital DD-50,Erro de Comunicação,Média,Maria Santos,Pendente,,,338,Não,Linha 200,2023-10
CH00462,2024-05-06 00:00:00,Computador Bordo CB-100,Defeito de Software,Alta,João Silva,Concluída,2024-05-06 06:58:00,6.97,696,Sim,Linha 500,2024-05
CH00463,2023-04-20 00:00:00,Catraca CT-500,Conectividade,Crítica,João Silva,Pendente,,,1156,Sim,Linha 200,2023-04
CH00464,2023-06-14 00:00:00,Validador VA-2000,Sensor Danificado,Baixa,Maria Santos,Concluída,2023-06-15 03:33:00,27.55,164,Não,Linha 100,2023-06
CH00465,2023-02-03 00:00:00,Display Digital DD-50,Conectividade,Alta,Maria Santos,Pendente,,,641,Sim,Linha 100,2023-02
CH00466,2023-09-01 00:00:00,Computador Bordo CB-100,Conectividade,Média,Mário Inácio,Concluída,2023-09-01 21:26:00,21.43,323,Sim,Linha 400,2023-09
CH00467,2023-01-14 00:00:00,Catraca CT-700,Falha Elétrica,Alta,Mário Inácio,Concluída,2023-01-14 04:08:00,4.13,601,Sim,Linha 400,2023-01
CH00468,2023-07-21 00:00:00,Antena GPS AG-20,Erro de Comunicação,Alta,Mário Inácio,Pendente,,,599,Não,Linha 400,2023-07
CH00469,2024-06-10 00:00:00,Validador VA-3000,Sensor Danificado,Baixa,Maria Santos,Concluída,2024-06-10 16:08:00,16.13,196,Sim,Linha 400,2024-06
CH00470,2023-09-19 00:00:00,Catraca CT-500,Defeito de Software,Alta,Maria Santos,Concluída,2023-09-19 02:02:00,2.03,634,Sim,Linha 200,2023-09
CH00471,2023-11-05 00:00:00,Validador VA-2000,Erro de Comunicação,Alta,Mário Inácio,Concluída,2023-11-05 06:11:00,6.18,696,Sim,Linha 300,2023-11
CH00472,2023-07-08 00:00:00,Validador VA-2000,Conectividade,Alta,Mário Inácio,Concluída,2023-07-08 06:26:00,6.43,567,Sim,Linha 200,2023-07
CH00473,2023-08-15 00:00:00,Catraca CT-700,Defeito de Software,Crítica,João Silva,Concluída,2023-08-15 01:24:00,1.4,1234,Não,Linha 300,2023-08
CH00474,2023-04-28 00:00:00,Catraca CT-500,Erro de Comunicação,Crítica,Mário Inácio,Concluída,2023-04-28 01:58:00,1.97,1264,Não,Linha 500,2023-04
CH00475,2023-04-27 00:00:00,Computador Bordo CB-100,Erro de Comunicação,Baixa,Pedro Oliveira,Concluída,2023-04-28 10:20:00,34.33,165,Sim,Linha 300,2023-04
CH00476,2024-04-01 00:00:00,Validador VA-2000,Defeito de Software,Alta,Mário Inácio,Pendente,,,674,Sim,Linha 300,2024-04
CH00477,2023-04-09 00:00:00,Display Digital DD-50,Erro de Comunicação,Alta,Mário Inácio,Concluída,2023-04-09 03:25:00,3.42,687,Sim,Linha 100,2023-04
CH00478,2023-04-17 00:00:00,Display Digital DD-50,Falha de Leitura,Média,Maria Santos,Concluída,2023-04-17 11:01:00,11.02,387,Sim,Linha 100,2023-04
CH00479,2023-12-06 00:00:00,Display Digital DD-50,Sensor Danificado,Média,João Silva,Concluída,2023-12-06 05:17:00,5.28,272,Sim,Linha 100,2023-12
CH00480,2023-08-22 00:00:00,Validador VA-3000,Conectividade,Alta,Mário Inácio,Concluída,2023-08-22 04:12:00,4.2,654,Sim,Linha 400,2023-08
CH00481,2024-02-03 00:00:00,Display Digital DD-50,Falha Elétrica,Crítica,Pedro Oliveira,Concluída,2024-02-03 01:00:00,1.0,1286,Sim,Linha 500,2024-02
CH00482,2024-05-29 00:00:00,Validador VA-2000,Conectividade,Baixa,João Silva,Concluída,2024-05-29 15:14:00,15.23,174,Não,Linha 500,2024-05
CH00483,2023-02-01 00:00:00,Validador VA-2000,Desgaste Mecânico,Crítica,Ana Costa,Concluída,2023-02-01 02:31:00,2.52,1190,Sim,Linha 200,2023-02
CH00484,2023-05-28 00:00:00,Validador VA-3000,Sensor Danificado,Crítica,Mário Inácio,Concluída,2023-05-28 01:46:00,1.77,1245,Sim,Linha 500,2023-05
CH00485,2023-01-06 00:00:00,Antena GPS AG-20,Defeito de Software,Média,João Silva,Concluída,2023-01-06 23:32:00,23.53,350,Sim,Linha 500,2023-01
CH00486,2024-02-27 00:00:00,Validador VA-2000,Desgaste Mecânico,Média,Pedro Oliveira,Concluída,2024-02-27 21:29:00,21.48,286,Não,Linha 200,2024-02
CH00487,2023-07-05 00:00:00,Validador VA-3000,Defeito de Software,Alta,Maria Santos,Concluída,2023-07-05 07:43:00,7.72,695,Sim,Linha 500,2023-07
CH00488,2023-09-14 00:00:00,Catraca CT-700,Sensor Danificado,Baixa,Pedro Oliveira,Concluída,2023-09-14 14:42:00,14.7,150,Sim,Linha 400,2023-09
CH00489,2023-10-19 00:00:00,Catraca CT-500,Desgaste Mecânico,Média,Maria Santos,Concluída,2023-10-19 06:22:00,6.37,299,Não,Linha 400,2023-10
CH00490,2024-01-09 00:00:00,Catraca CT-700,Desgaste Mecânico,Alta,Mário Inácio,Concluída,2024-01-09 04:41:00,4.68,659,Não,Linha 100,2024-01
CH00491,2024-01-04 00:00:00,Catraca CT-500,Erro de Comunicação,Média,Ana Costa,Concluída,2024-01-04 08:35:00,8.58,334,Sim,Linha 400,2024-01
CH00492,2023-04-22 00:00:00,Catraca CT-700,Desgaste Mecânico,Alta,Ana Costa,Pendente,,,594,Sim,Linha 100,2023-04
CH00493,2023-09-27 00:00:00,Antena GPS AG-20,Desgaste Mecânico,Média,Mário Inácio,Concluída,2023-09-27 06:36:00,6.6,269,Sim,Linha 500,2023-09
CH00494,2023-02-07 00:00:00,Display Digital DD-50,Falha de Leitura,Crítica,Mário Inácio,Concluída,2023-02-07 02:51:00,2.85,1216,Sim,Linha 500,2023-02
CH00495,2023-08-17 00:00:00,Catraca CT-700,Sensor Danificado,Média,Pedro Oliveira,Concluída,2023-08-17 13:55:00,13.92,284,Sim,Linha 500,2023-08
CH00496,2023-01-11 00:00:00,Computador Bordo CB-100,Falha de Leitura,Crítica,Pedro Oliveira,Pendente,,,1211,Sim,Linha 200,2023-01
CH00497,2023-07-03 00:00:00,Antena GPS AG-20,Defeito de Software,Média,Ana Costa,Concluída,2023-07-03 23:19:00,23.32,394,Não,Linha 400,2023-07
CH00498,2023-03-06 00:00:00,Catraca CT-500,Falha de Leitura,Média,Ana Costa,Concluída,2023-03-06 13:01:00,13.02,344,Não,Linha 100,2023-03
CH00499,2024-04-10 00:00:00,Display Digital DD-50,Erro de Comunicação,Alta,Ana Costa,Concluída,2024-04-10 02:23:00,2.38,560,Não,Linha 100,2024-04
CH00500,2023-06-28 00:00:00,Display Digital DD-50,Defeito de Software,Alta,Pedro Oliveira,Pendente,,,646,Sim,Linha 300,2023-06
